entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,position_size,pnl_dollars,pnl_pct,exit_reason,capital_after,entry_idx,pattern_signal_direction,feature_rsi,feature_ema_20,feature_ema_50,feature_ema_200,feature_atr,feature_atr_percentile,feature_volume_ratio,feature_body,feature_upper_wick,feature_lower_wick,risk_reward_ratio
2025-12-11 14:45:00,2025-12-11 15:30:00,long,4230.138,4253.269702790328,4218.572148604836,4253.269702790328,0.86,198.9326439968194,1.989326439968194,take_profit,10198.932643996819,57,bullish,58.06789688391148,4222.105428496828,4220.591292139059,0.0,7.7897027903279525,0.5211480362537765,2.328712412069365,13.574000000000524,0.7589999999991051,1.2339999999994689,2.0
2025-12-11 21:15:00,2025-12-11 23:30:00,long,4279.456,4273.9895426931525,4273.9895426931525,4290.388914613695,1.87,-102.22275163804989,-1.0222275163804988,stop_loss,10096.70989235877,83,bullish,64.75240349388362,4269.253551340207,4253.2413735208365,0.0,7.474914613695137,0.4607250755287009,0.5707582776242119,6.554000000000087,0.15399999999954161,0.37700000000040745,2.0
2025-12-12 05:30:00,2025-12-12 07:00:00,long,4277.836,4284.687970003729,4274.410014998136,4284.687970003729,2.95,202.13311510999486,2.0213311510999485,take_profit,10298.843007468764,112,bullish,59.10118736179615,4271.711258850683,4266.529162026421,0.0,4.961970003727072,0.04380664652567976,1.2031169167097775,3.5450000000000728,1.475999999999658,0.1320000000005166,2.0
2025-12-15 01:00:00,2025-12-15 04:15:00,long,4313.156,4330.044003810662,4304.711998094669,4330.044003810662,1.22,206.03364649007344,2.0603364649007343,take_profit,10504.876653958838,186,bullish,61.03147164565394,4303.362186903198,4302.573674512994,0.0,7.468003810661851,0.45820745216515607,2.0890611405520843,5.614999999999782,0.7780000000002474,1.7579999999998108,2.0
2025-12-15 07:30:00,2025-12-15 12:30:00,long,4339.745,4345.564,4327.286056644843,4364.6628867103145,0.84,48.87960000000348,0.4887960000000348,timeout,10553.756253958842,212,bullish,63.85952744308917,4334.310801136959,4322.617709310466,4280.9607540689685,5.597886710314229,0.11430010070493454,1.2054013659825167,4.292999999999665,0.4710000000004584,6.125,2.0
2025-12-17 01:15:00,2025-12-17 01:30:00,long,4316.94,4324.427339916506,4313.1963300417465,4324.427339916506,2.82,211.14298564547607,2.1114298564547607,take_profit,10764.899239604318,371,bullish,64.17737417996395,4310.046640197559,4306.32909929563,4300.195762461156,5.429339916506826,0.09365558912386707,2.0929857781717094,0.8790000000008149,1.7729999999992287,3.7239999999992506,2.0
2025-12-17 06:15:00,2025-12-17 07:00:00,long,4332.606,4322.886198419514,4322.886198419514,4352.045603160972,1.11,-107.88979754339563,-1.0788979754339563,stop_loss,10657.009442060922,391,bullish,61.25690836393684,4326.331933538852,4317.672467055477,4304.861626807383,6.285603160973206,0.23766364551863042,1.0158864964779937,4.123999999999796,0.3110000000006039,2.2100000000000364,2.0
2025-12-17 13:00:00,2025-12-17 13:30:00,long,4323.201,4334.345774977791,4317.628612511105,4334.345774977791,1.91,212.86520207580435,2.1286520207580435,take_profit,10869.874644136726,418,bullish,55.949317921471525,4319.222208075034,4318.498469726078,4308.248558148268,5.924774977790814,0.17774420946626385,2.083269260341381,5.730000000000473,4.730999999999767,2.3809999999994034,2.0
2025-12-17 20:30:00,2025-12-17 23:00:00,long,4342.056,4337.47840365675,4337.47840365675,4351.211192686499,2.37,-108.48903333501912,-1.0848903333501911,stop_loss,10761.385610801706,448,bullish,58.44026569131926,4336.87356494551,4331.341131352799,4315.5410179033715,7.221192686500121,0.40735146022155083,0.4768847045598258,0.6340000000000146,0.8850000000002183,2.9489999999996144,2.0
2025-12-19 13:00:00,2025-12-19 13:45:00,long,4330.11,4327.433811565056,4327.433811565056,4335.462376869887,4.02,-107.58277508472746,-1.0758277508472747,stop_loss,10653.802835716979,602,bullish,58.68141708029438,4326.7871584154855,4326.6136804975395,4325.846655686605,4.674376869887556,0.0256797583081571,1.8326569447950447,3.2590000000000146,4.631000000000313,0.7190000000000509,2.0
2025-12-19 15:30:00,2025-12-19 16:00:00,long,4340.053,4351.465990620114,4334.346504689943,4351.465990620114,1.87,213.42292459613583,2.1342292459613583,take_profit,10867.225760313115,612,bullish,63.3632363330538,4331.680302849669,4329.01915641793,4326.585893656391,7.298990620115379,0.4229607250755287,1.4735139336771672,2.449999999999818,4.966000000000349,1.0079999999998108,2.0
