pattern,direction,pattern_signal_direction,entry_time,exit_time,entry_idx,entry_price,stop_loss,take_profit,risk_reward_ratio,exit_reason,feature_rsi,feature_ema_20,feature_ema_50,feature_ema_200,feature_atr,feature_atr_percentile,feature_volume_ratio,feature_body,feature_upper_wick,feature_lower_wick,label_win,pnl_dollars
falling_wedge,long,bullish,2025-12-12 06:15:00,2025-12-12 09:45:00,115,4281.041,4262.31983791855,4318.483324162901,2.0,take_profit,62.13035998192439,4273.701410264209,4267.978124395944,0.0,4.836324162901871,0.03625377643504532,0.9918311014957664,3.1520000000000437,0.44099999999980355,0.967000000000553,1,198.44431806337565
falling_wedge,long,bullish,2025-12-15 12:30:00,2025-12-15 13:45:00,232,4345.564,4331.312938340549,4374.066123318902,2.0,stop_loss,60.82183810607782,4341.991970063753,4333.994544901574,4292.272553002795,4.614123318900591,0.022155085599194362,0.9558461571388823,0.795999999999367,2.100000000000364,0.6210000000000946,0,-102.60764394804646
falling_wedge,long,bullish,2025-12-16 18:30:00,2025-12-17 00:30:00,348,4308.829,4286.673677594057,4353.139644811885,2.0,timeout,54.57995780920835,4305.728560423822,4301.666281044913,4297.927859790971,8.716644811885876,0.6404833836858006,0.627899042544697,7.095999999999549,2.02599999999984,0.6280000000006112,1,16.97400000000234
falling_wedge,long,bullish,2025-12-17 09:00:00,2025-12-17 14:00:00,402,4321.021,4305.026077059601,4353.010845880796,2.0,timeout,49.370186306661424,4321.785744689676,4318.522386327217,4306.477825403463,6.499845880796503,0.2769385699899295,0.6792102713839352,1.9489999999996144,2.199999999999818,1.4459999999999127,1,39.41280000000197
falling_wedge,long,bullish,2025-12-19 13:30:00,2025-12-19 16:00:00,604,4329.603,4318.148715073952,4352.511569852096,2.0,take_profit,54.30428143543928,4327.743542376395,4327.03837173187,4325.97197766999,5.010569852096899,0.04833836858006042,1.4734674710110898,5.177999999999884,0.6760000000003856,0.6729999999997744,1,203.88627168365218
falling_wedge,long,bullish,2025-12-21 23:00:00,2025-12-22 00:30:00,638,4344.766,4334.15025163681,4365.997496726379,2.0,take_profit,54.27674218849215,4342.581808806004,4339.2887205711595,4330.949506711972,4.963496726380061,0.044310171198388724,0.6602129001149809,3.826999999999316,0.9500000000007276,0.9949999999998909,1,208.06866791851607
falling_wedge,long,bullish,2025-12-22 12:45:00,2025-12-22 16:15:00,693,4415.572,4403.713479619152,4439.289040761696,2.0,take_profit,64.49881577808058,4409.374491515306,4397.5355530785855,4359.633751721516,4.849040761695513,0.03675730110775428,0.8960224571570868,6.179000000000087,0.28799999999955617,0.3040000000000873,1,211.0816627790935
falling_wedge,long,bullish,2025-12-22 20:45:00,2025-12-23 00:00:00,725,4438.471,4424.786745039128,4465.839509921743,2.0,take_profit,59.205836729729825,4433.066613595273,4422.846126491977,4379.306952743884,5.726509921743608,0.13695871097683787,0.7799188462822112,3.7119999999995343,0.9120000000002619,0.5069999999996071,1,216.2112283817751
falling_wedge,long,bullish,2025-12-23 06:45:00,2025-12-23 11:45:00,761,4481.453,4466.390689550637,4511.577620898727,2.0,timeout,57.02580622031515,4478.4713209667925,4464.906099909118,4408.452068892695,6.19862089872478,0.22104733131923465,0.8921025448398912,5.131000000000313,0.08799999999973807,0.6670000000003711,1,87.95039999999835
falling_wedge,long,bullish,2025-12-23 12:00:00,2025-12-23 13:45:00,782,4485.933,4475.474396041659,4506.850207916682,2.0,stop_loss,52.90878909299895,4484.976255389676,4476.668733187219,4423.045544072976,5.441207916681245,0.09566968781470292,1.014459680932722,7.530999999999949,0.1610000000000582,0.17699999999967986,0,-110.86120195841431
