entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,position_size,pnl_dollars,pnl_pct,exit_reason,capital_after,entry_idx,pattern_signal_direction,feature_rsi,feature_ema_20,feature_ema_50,feature_ema_200,feature_atr,feature_atr_percentile,feature_volume_ratio,feature_body,feature_upper_wick,feature_lower_wick,risk_reward_ratio
2025-12-11 21:15:00,2025-12-12 03:15:00,long,4279.456,4269.998,4250.961542693152,4336.444914613696,0.35,-33.103000000001884,-0.33103000000001886,timeout,9966.896999999997,83,bullish,64.75240349388362,4269.253551340207,4253.2413735208365,0.0,7.474914613695137,0.4607250755287009,0.5707582776242119,6.554000000000087,0.15399999999954161,0.37700000000040745,2.0
2025-12-12 06:15:00,2025-12-12 09:45:00,long,4281.041,4318.483324162901,4262.31983791855,4318.483324162901,0.53,198.44431806337565,1.9844431806337566,take_profit,10165.341318063372,115,bullish,62.13035998192439,4273.701410264209,4267.978124395944,0.0,4.836324162901871,0.03625377643504532,0.9918311014957664,3.1520000000000437,0.44099999999980355,0.967000000000553,2.0
2025-12-15 11:15:00,2025-12-15 13:45:00,long,4340.686,4331.044760232875,4331.044760232875,4359.968479534249,1.05,-101.23301755480952,-1.0123301755480951,stop_loss,10064.108300508564,227,bullish,53.569325819829615,4340.634299745424,4331.795284022253,4289.628265362766,5.150479534249462,0.059415911379657606,0.8789112943280024,2.2609999999995125,1.0170000000007349,2.6480000000001382,2.0
2025-12-16 18:30:00,2025-12-17 00:30:00,long,4308.829,4312.519,4286.673677594057,4353.139644811885,0.45,16.605000000002292,0.16605000000002293,timeout,10080.713300508567,348,bullish,54.57995780920835,4305.728560423822,4301.666281044913,4297.927859790971,8.716644811885876,0.6404833836858006,0.627899042544697,7.095999999999549,2.02599999999984,0.6280000000006112,2.0
2025-12-17 17:15:00,2025-12-17 23:15:00,long,4337.075,4338.169,4310.348336640747,4390.528326718505,0.38,4.157200000000193,0.041572000000001934,timeout,10084.870500508567,435,bullish,57.846520242011586,4331.129186999223,4326.142528255675,4312.289461079765,9.483326718506152,0.7507552870090635,0.7079890896153693,4.407000000000153,2.8919999999998254,2.483999999999469,2.0
2025-12-18 03:00:00,2025-12-18 08:00:00,long,4335.778,4328.453,4321.4479405526135,4364.438118894774,0.7,-51.27499999999873,-0.5127499999999873,timeout,10033.595500508567,470,bullish,51.885375847468445,4334.434699337008,4333.522387755998,4319.517856647545,5.452118894773585,0.09718026183282981,0.844606826635068,2.542000000000371,0.1790000000000873,2.4219999999995707,2.0
2025-12-18 23:45:00,2025-12-19 01:15:00,long,4335.144,4319.366020767131,4319.366020767131,4366.699958465739,0.64,-100.97906709036324,-1.0097906709036324,stop_loss,9932.616433418203,549,bullish,51.49897103262398,4333.82677742288,4333.492586144228,4326.603415118932,6.72395846573895,0.31671701913393757,0.3437790353915027,1.1090000000003783,1.782999999999447,0.29799999999977445,2.0
2025-12-19 10:45:00,2025-12-19 15:15:00,long,4327.744,4345.663637964081,4318.784181017959,4345.663637964081,1.11,198.90798140130613,1.9890798140130612,take_profit,10131.524414819509,593,bullish,53.20218268610278,4326.640544087941,4326.530328876799,4325.7594193694695,4.569637964082204,0.017119838872104734,0.8059044991985687,0.6169999999992797,2.0270000000000437,0.3710000000000946,2.0
2025-12-23 05:30:00,2025-12-23 10:30:00,long,4481.023,4482.959,4463.084851418912,4516.8992971621765,0.56,10.84159999999829,0.10841599999998291,timeout,10142.366014819507,756,bullish,57.68549088491395,4479.759633024284,4462.389673027227,4404.980339193402,6.260297162175855,0.23212487411883181,1.2851064957786056,0.6530000000002474,4.550999999999476,3.57300000000032,2.0
2025-12-23 11:30:00,2025-12-23 14:00:00,long,4488.548,4472.189409018729,4472.189409018729,4521.265181962542,0.62,-101.4232640838798,-1.014232640838798,stop_loss,10040.942750735627,780,bullish,59.188058554122314,4483.967602844452,4475.588134535591,4421.699062197728,5.127181962541615,0.057905337361530716,0.6589018302828619,4.630000000000109,0.011000000000422006,0.7699999999995271,2.0
