entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,position_size,pnl_dollars,pnl_pct,exit_reason,capital_after,risk_reward_ratio
2025-12-15 15:30:00,2025-12-15 20:30:00,short,4323.306,4305.675,4352.884274548314,4264.14945090337,0.34,59.945399999997974,0.5994539999999797,timeout,10059.945399999999,2.0
2025-12-16 08:15:00,2025-12-16 13:00:00,short,4279.079,4295.682592073004,4295.682592073004,4245.8718158539905,0.61,-101.2819116453282,-1.012819116453282,stop_loss,9958.66348835467,2.0
2025-12-18 04:30:00,2025-12-18 09:30:00,short,4329.644,4324.355,4345.545733184911,4297.8405336301785,0.63,33.320700000004216,0.33320700000004216,timeout,9991.984188354674,2.0
2025-12-18 10:45:00,2025-12-18 13:45:00,short,4325.359,4339.937470668126,4339.937470668126,4296.20205866375,0.69,-100.59144761006381,-1.005914476100638,stop_loss,9891.39274074461,2.0
2025-12-19 01:00:00,2025-12-19 06:00:00,short,4325.652,4327.133,4341.322796120682,4294.310407758636,0.63,-9.330299999998534,-0.09330299999998534,timeout,9882.062440744612,2.0
2025-12-24 08:00:00,2025-12-24 13:00:00,short,4485.14,4485.229,4505.3363576120755,4444.74728477585,0.49,-0.43609999999971477,-0.0043609999999971475,timeout,9881.626340744613,2.0
2025-12-24 15:00:00,2025-12-26 00:00:00,short,4474.671,4504.428435458128,4504.428435458128,4415.156129083745,0.33,-98.19953701182067,-0.9819953701182067,stop_loss,9783.426803732793,2.0
2025-12-31 19:30:00,2026-01-02 01:30:00,short,4310.579,4346.774,4358.32743312218,4215.082133755639,0.2,-72.39000000000124,-0.7239000000000124,timeout,9711.036803732792,2.0
2026-01-07 04:15:00,2026-01-07 09:15:00,short,4466.042,4462.104,4504.108159481487,4389.909681037027,0.26,10.238800000000266,0.10238800000000267,timeout,9721.275603732793,2.0
2026-01-07 12:15:00,2026-01-07 17:15:00,short,4450.105,4458.518,4478.559760300181,4393.195479399637,0.34,-28.604200000001583,-0.28604200000001584,timeout,9692.671403732791,2.0
2026-01-08 02:30:00,2026-01-08 07:30:00,short,4442.174,4431.579,4470.28540695375,4385.9511860925,0.34,36.02300000000086,0.36023000000000865,timeout,9728.694403732792,2.0
2026-01-08 11:45:00,2026-01-08 15:00:00,short,4422.728,4443.157801795567,4443.157801795567,4381.868396408866,0.48,-98.06304861872194,-0.9806304861872194,stop_loss,9630.63135511407,2.0
2026-01-13 01:45:00,2026-01-13 06:45:00,short,4577.984,4581.583,4621.735921698154,4490.480156603693,0.22,-7.917799999998351,-0.07917799999998351,timeout,9622.713555114071,2.0
