entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,position_size,pnl_dollars,pnl_pct,exit_reason,capital_after
2025-12-11 16:45:00,2025-12-11 21:45:00,long,4273.498,4280.179,4200.492708988397,4419.508582023205,0.14,9.353400000000693,0.09353400000000694,timeout,10009.3534
2025-12-12 08:00:00,2025-12-12 13:00:00,long,4293.406,4336.98,4263.5988633072875,4353.020273385425,0.34,148.1515999999987,1.481515999999987,timeout,10157.505
2025-12-12 08:30:00,2025-12-12 13:30:00,long,4303.845,4339.839,4263.431578620699,4384.671842758603,0.25,89.98499999999922,0.8998499999999922,timeout,10247.489999999998
2025-12-12 08:45:00,2025-12-12 13:45:00,long,4308.122,4341.042,4263.333316077637,4397.699367844726,0.23,75.71600000000016,0.7571600000000017,timeout,10323.205999999998
2025-12-12 09:00:00,2025-12-12 14:00:00,long,4316.654,4342.232,4263.15917495813,4423.643650083741,0.19,48.59819999999908,0.4859819999999908,timeout,10371.804199999997
2025-12-12 10:30:00,2025-12-12 15:30:00,long,4327.871,4317.3,4270.933910918195,4441.745178163611,0.18,-19.027799999999843,-0.19027799999999845,timeout,10352.776399999997
2025-12-12 10:45:00,2025-12-12 15:45:00,long,4329.72,4290.494,4273.017847136039,4443.1243057279235,0.18,-70.60680000000102,-0.7060680000000101,timeout,10282.169599999996
2025-12-12 11:00:00,2025-12-12 16:00:00,long,4335.71,4286.263,4273.236100791136,4460.657798417728,0.16,-79.11520000000019,-0.7911520000000019,timeout,10203.054399999995
2025-12-16 13:45:00,2025-12-16 18:45:00,long,4313.02,4311.33,4270.314390991121,4398.4312180177585,0.24,-4.056000000001222,-0.040560000000012225,timeout,10198.998399999995
2025-12-16 14:00:00,2025-12-16 19:00:00,long,4319.369,4305.94,4270.23947020604,4417.628059587919,0.21,-28.200900000000182,-0.28200900000000184,timeout,10170.797499999995
2025-12-16 14:15:00,2025-12-16 19:15:00,long,4325.667,4305.546,4270.04811519132,4436.904769617361,0.18,-36.21780000000017,-0.36217800000000167,timeout,10134.579699999995
2025-12-17 04:30:00,2025-12-17 09:30:00,long,4329.69,4318.978,4302.56922337486,4383.93155325028,0.37,-39.63439999999827,-0.3963439999999827,timeout,10094.945299999996
2025-12-22 01:30:00,2025-12-22 06:30:00,long,4381.777,4408.479,4333.32518356953,4478.68063286094,0.21,56.074200000000474,0.5607420000000047,timeout,10151.019499999997
2025-12-22 02:45:00,2025-12-22 07:45:00,long,4385.972,4414.352,4333.469351444118,4490.977297111764,0.19,53.92200000000021,0.539220000000002,timeout,10204.941499999997
2025-12-23 00:00:00,2025-12-23 05:00:00,long,4466.192,4480.754,4425.739323592481,4547.097352815038,0.25,36.404999999999745,0.36404999999999743,timeout,10241.346499999996
2025-12-23 01:00:00,2025-12-23 06:00:00,long,4485.42,4471.47,4425.580245604041,4605.099508791918,0.17,-23.71499999999969,-0.23714999999999692,timeout,10217.631499999996
2025-12-23 01:45:00,2025-12-23 06:45:00,long,4486.753,4481.453,4428.0369040058595,4604.18519198828,0.17,-9.009999999998763,-0.09009999999998763,timeout,10208.621499999997
2025-12-23 02:30:00,2025-12-23 07:30:00,long,4495.894,4484.166,4427.9834202262655,4631.71515954747,0.15,-17.5920000000001,-0.175920000000001,timeout,10191.029499999997
2025-12-24 01:15:00,2025-12-24 02:45:00,long,4521.703,4479.185824356596,4479.185824356596,4606.73735128681,0.24,-102.04122154417128,-1.0204122154417128,stop_loss,10088.988278455825
2025-12-26 00:00:00,2025-12-26 05:00:00,long,4503.336,4509.162,4443.669311191452,4622.669377617097,0.17,9.904200000000037,0.09904200000000035,timeout,10098.892478455826
2025-12-26 00:15:00,2025-12-26 05:15:00,long,4507.155,4507.369,4443.78921753492,4633.88656493016,0.16,0.3423999999999069,0.003423999999999069,timeout,10099.234878455825
2025-12-26 00:30:00,2025-12-26 05:30:00,long,4507.721,4512.139,4443.974559139568,4635.213881720863,0.16,7.06880000000092,0.07068800000000919,timeout,10106.303678455826
2025-12-30 05:15:00,2025-12-30 10:15:00,long,4372.413,4382.169,4319.847411342344,4477.544177315312,0.19,18.536400000000594,0.18536400000000594,timeout,10124.840078455827
2026-01-02 00:45:00,2026-01-02 05:45:00,long,4354.191,4380.664,4299.810606279397,4462.951787441206,0.19,50.29869999999992,0.5029869999999992,timeout,10175.138778455826
2026-01-02 02:45:00,2026-01-02 07:45:00,long,4362.798,4382.8,4302.381497562396,4483.631004875207,0.17,34.003400000000696,0.34003400000000694,timeout,10209.142178455828
2026-01-05 00:00:00,2026-01-05 05:00:00,long,4378.116,4408.107,4304.590127940072,4525.167744119855,0.14,41.98739999999998,0.41987399999999975,timeout,10251.129578455828
2026-01-05 00:15:00,2026-01-05 05:15:00,long,4387.295,4412.513,4304.525118801495,4552.834762397009,0.12,30.261599999999817,0.30261599999999816,timeout,10281.391178455828
2026-01-05 01:00:00,2026-01-05 06:00:00,long,4403.027,4418.188,4309.318445520002,4590.444108959997,0.11,16.677100000000063,0.1667710000000006,timeout,10298.068278455828
2026-01-05 08:15:00,2026-01-05 13:15:00,long,4426.693,4399.52,4393.521158746716,4493.036682506569,0.31,-84.2362999999993,-0.842362999999993,timeout,10213.83197845583
2026-01-06 05:15:00,2026-01-06 10:15:00,long,4469.718,4450.167,4424.3668050415645,4560.420389916871,0.23,-44.967299999998794,-0.44967299999998794,timeout,10168.864678455831
2026-01-08 16:30:00,2026-01-08 21:30:00,long,4460.74,4474.306,4402.431428378261,4577.3571432434765,0.17,23.06219999999967,0.2306219999999967,timeout,10191.926878455832
2026-01-12 00:00:00,2026-01-12 05:00:00,long,4553.665,4570.14,4478.491632566084,4704.011734867831,0.14,23.065000000000513,0.2306500000000051,timeout,10214.991878455832
2026-01-12 00:15:00,2026-01-12 05:15:00,long,4564.608,4572.502,4485.007944525649,4723.808110948703,0.13,10.262200000000304,0.10262200000000303,timeout,10225.254078455833
2026-01-12 00:30:00,2026-01-12 05:30:00,long,4591.36,4581.651,4485.751698488103,4802.576603023793,0.1,-9.708999999999833,-0.09708999999999832,timeout,10215.545078455834
